long,lat,order,hole,piece,id,group,STATEFP10,PLACEFP10,PLACENS10,NAME10,PLACE,NAME,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,popAvg
-88.033548,41.933863,135,TRUE,3,1700243,1700243.3,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.016967,41.939433,136,TRUE,4,1700243,1700243.4,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.016274,41.936888,137,TRUE,4,1700243,1700243.4,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.013773,41.938006,138,TRUE,4,1700243,1700243.4,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.012548,41.936361,139,TRUE,4,1700243,1700243.4,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.011693,41.938029,140,TRUE,4,1700243,1700243.4,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.011816,41.936375,141,TRUE,4,1700243,1700243.4,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.009346,41.936423,142,TRUE,4,1700243,1700243.4,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.009199,41.939086,143,TRUE,4,1700243,1700243.4,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.011809,41.941239,144,TRUE,4,1700243,1700243.4,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.015994,41.939126,145,TRUE,4,1700243,1700243.4,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.013848,41.941556,146,TRUE,4,1700243,1700243.4,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.015697,41.94193,147,TRUE,4,1700243,1700243.4,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.016967,41.939433,148,TRUE,4,1700243,1700243.4,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.983345,41.936195,149,TRUE,5,1700243,1700243.5,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.982415,41.934943,150,TRUE,5,1700243,1700243.5,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.976041,41.933261,151,TRUE,5,1700243,1700243.5,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
