town,town2,year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,pop,cycle_rate,ped_rate,total_rate
Elk Grove Village,Elk Grove,2013,4,0,4,9,0,9,13,13,0,"33,247",0.12,0.27,0.39
Elk Grove Village,Elk Grove,2014,6,0,4,6,0,6,12,10,0,"33,288",0.18,0.18,0.36
Elk Grove Village,Elk Grove,2015,9,0,9,5,0,5,14,14,0,"33,333",0.27,0.15,0.42
Elmhurst,Elmhurst,2012,13,0,13,6,0,6,19,19,0,"44,385",0.29,0.14,0.43
Elmhurst,Elmhurst,2013,10,0,9,16,1,15,26,24,1,"44,745",0.22,0.36,0.58
Elmhurst,Elmhurst,2014,15,0,15,12,0,12,27,27,0,"45,105",0.33,0.27,0.6
Elmhurst,Elmhurst,2015,10,0,10,9,0,9,19,19,0,"45,469",0.22,0.2,0.42
Elmwood Park,Elmwood Park,2012,9,0,9,6,1,5,15,14,1,"24,876",0.36,0.24,0.6
Elmwood Park,Elmwood Park,2013,8,0,8,14,0,14,22,22,0,"24,918",0.32,0.56,0.88
Elmwood Park,Elmwood Park,2014,6,0,5,10,0,10,16,15,0,"24,960",0.24,0.4,0.64
Elmwood Park,Elmwood Park,2015,2,0,2,10,0,10,12,12,0,"24,971",0.08,0.4,0.48
Evanston,Evanston,2012,53,0,49,59,1,57,112,106,1,"74,619",0.71,0.79,1.5
Evanston,Evanston,2013,62,0,60,54,0,54,116,114,0,"74,937",0.83,0.72,1.55
Evanston,Evanston,2014,48,1,46,44,1,41,92,87,2,"75,282",0.64,0.58,1.22
Evanston,Evanston,2015,55,0,55,47,1,45,102,100,1,"75,603",0.73,0.62,1.35
Evergreen Park,Evergreen Park,2012,8,0,8,10,0,10,18,18,0,"19,852",0.4,0.5,0.91
Evergreen Park,Evergreen Park,2013,9,0,8,9,0,9,18,17,0,"19,903",0.45,0.45,0.9
Evergreen Park,Evergreen Park,2014,4,0,4,9,0,9,13,13,0,"19,924",0.2,0.45,0.65
Evergreen Park,Evergreen Park,2015,4,0,4,9,0,9,13,13,0,"19,934",0.2,0.45,0.65
Flossmoor,Flossmoor,2012,1,0,1,,,,1,1,0,"9,387",0.11,0,0.11
Flossmoor,Flossmoor,2013,1,0,1,,,,1,1,0,"9,317",0.11,0,0.11
Flossmoor,Flossmoor,2014,1,0,1,,,,1,1,0,"9,339",0.11,0,0.11
Flossmoor,Flossmoor,2015,1,0,1,1,0,1,2,2,0,"9,492",0.11,0.11,0.21
Ford Heights,Ford Heights,2012,,,,3,0,3,3,3,0,"2,787",0,1.08,1.08
Ford Heights,Ford Heights,2013,,,,4,0,4,4,4,0,"2,781",0,1.44,1.44
Ford Heights,Ford Heights,2015,,,,6,1,5,6,5,1,"2,780",0,2.16,2.16
Forest Park,Forest Park,2012,9,0,9,14,1,13,23,22,1,"14,194",0.63,0.99,1.62
Forest Park,Forest Park,2013,7,0,7,10,1,9,17,16,1,"14,202",0.49,0.7,1.2
Forest Park,Forest Park,2014,5,0,5,16,1,15,21,20,1,"14,202",0.35,1.13,1.48
Forest Park,Forest Park,2015,5,0,5,9,0,9,14,14,0,"14,194",0.35,0.63,0.99
Forest View,Forestview,2013,,,,1,0,1,1,1,0,766,0,1.31,1.31
Forest View,Forestview,2015,,,,1,0,1,1,1,0,703,0,1.42,1.42
Fox Lake,Fox Lake,2012,,,,4,0,3,4,3,0,"10,768",0,0.37,0.37
Fox Lake,Fox Lake,2013,1,0,1,1,0,1,2,2,0,"10,751",0.09,0.09,0.19
Fox Lake,Fox Lake,2014,2,0,2,2,0,2,4,4,0,"10,757",0.19,0.19,0.37
Fox Lake,Fox Lake,2015,2,0,2,,,,2,2,0,"10,539",0.19,0,0.19
Fox River Grove,Fox River Grove,2012,2,0,2,,,,2,2,0,"4,729",0.42,0,0.42
Fox River Grove,Fox River Grove,2013,1,0,1,,,,1,1,0,"4,657",0.21,0,0.21
Fox River Grove,Fox River Grove,2014,1,0,1,1,0,0,2,1,0,"4,749",0.21,0.21,0.42
Fox River Grove,Fox River Grove,2015,,,,2,0,2,2,2,0,"4,739",0,0.42,0.42
Frankfort,Frankfort,2012,1,0,1,1,0,1,2,2,0,"17,787",0.06,0.06,0.11
Frankfort,Frankfort,2013,3,0,3,1,0,1,4,4,0,"17,958",0.17,0.06,0.22
Frankfort,Frankfort,2014,1,0,1,1,0,1,2,2,0,"18,100",0.06,0.06,0.11
Frankfort,Frankfort,2015,1,0,1,1,0,1,2,2,0,"18,295",0.05,0.05,0.11
Franklin Park,Franklin Park,2012,5,0,5,10,1,9,15,14,1,"18,333",0.27,0.55,0.82
Franklin Park,Franklin Park,2013,4,0,3,9,0,9,13,12,0,"18,383",0.22,0.49,0.71
Franklin Park,Franklin Park,2014,8,0,8,3,0,3,11,11,0,"18,389",0.44,0.16,0.6
Franklin Park,Franklin Park,2015,7,1,5,6,0,6,13,11,1,"18,410",0.38,0.33,0.71
Geneva,Geneva,2012,9,0,6,2,0,2,11,8,0,"21,588",0.42,0.09,0.51
Geneva,Geneva,2013,5,0,4,3,0,3,8,7,0,"21,607",0.23,0.14,0.37
Geneva,Geneva,2014,3,0,3,7,0,7,10,10,0,"21,662",0.14,0.32,0.46
Geneva,Geneva,2015,2,0,2,7,0,7,9,9,0,"21,704",0.09,0.32,0.41
Glen Ellyn,Glen Ellyn,2012,9,0,9,4,0,3,13,12,0,"27,503",0.33,0.15,0.47
Glen Ellyn,Glen Ellyn,2013,5,0,5,10,0,10,15,15,0,"27,493",0.18,0.36,0.55
Glen Ellyn,Glen Ellyn,2014,4,0,4,11,0,10,15,14,0,"27,394",0.15,0.4,0.55
Glen Ellyn,Glen Ellyn,2015,8,0,8,9,0,9,17,17,0,"27,890",0.29,0.32,0.61
Glencoe,Glencoe,2012,1,0,0,1,0,1,2,1,0,"8,728",0.11,0.11,0.23
Glencoe,Glencoe,2013,1,0,1,2,0,2,3,3,0,"8,766",0.11,0.23,0.34
Glencoe,Glencoe,2014,2,0,2,4,0,4,6,6,0,"8,824",0.23,0.45,0.68
Glencoe,Glencoe,2015,3,0,3,4,0,3,7,6,0,"8,881",0.34,0.45,0.79
Glendale Heights,Glendale Hts,2012,14,0,14,6,0,6,20,20,0,"34,159",0.41,0.18,0.59
Glendale Heights,Glendale Hts,2013,6,0,6,5,0,5,11,11,0,"34,351",0.17,0.15,0.32
